0 1 2 3 4 5 6 7 8 3 9 10 4 11 12 10 3 13 14 3 6 15 4 16 17 7 7 18 4 7,1 2 3 4 5 6 7 8 3 9 10 4 11 12 10 3 13 14 3 6 15 4 16 17 7 7 18 4 7 19
1 2 3 4 5 6 7 8 3 9 10 4 11 12 10 3 13 14 3 6 15 4 16 17 7 7 18 4 7 19,2 3 4 5 6 7 8 3 9 10 4 11 12 10 3 13 14 3 6 15 4 16 17 7 7 18 4 7 19 4
2 3 4 5 6 7 8 3 9 10 4 11 12 10 3 13 14 3 6 15 4 16 17 7 7 18 4 7 19 4,3 4 5 6 7 8 3 9 10 4 11 12 10 3 13 14 3 6 15 4 16 17 7 7 18 4 7 19 4 1
3 4 5 6 7 8 3 9 10 4 11 12 10 3 13 14 3 6 15 4 16 17 7 7 18 4 7 19 4 1,4 5 6 7 8 3 9 10 4 11 12 10 3 13 14 3 6 15 4 16 17 7 7 18 4 7 19 4 1 2
4 5 6 7 8 3 9 10 4 11 12 10 3 13 14 3 6 15 4 16 17 7 7 18 4 7 19 4 1 2,5 6 7 8 3 9 10 4 11 12 10 3 13 14 3 6 15 4 16 17 7 7 18 4 7 19 4 1 2 3
5 6 7 8 3 9 10 4 11 12 10 3 13 14 3 6 15 4 16 17 7 7 18 4 7 19 4 1 2 3,6 7 8 3 9 10 4 11 12 10 3 13 14 3 6 15 4 16 17 7 7 18 4 7 19 4 1 2 3 4
6 7 8 3 9 10 4 11 12 10 3 13 14 3 6 15 4 16 17 7 7 18 4 7 19 4 1 2 3 4,7 8 3 9 10 4 11 12 10 3 13 14 3 6 15 4 16 17 7 7 18 4 7 19 4 1 2 3 4 20
7 8 3 9 10 4 11 12 10 3 13 14 3 6 15 4 16 17 7 7 18 4 7 19 4 1 2 3 4 20,8 3 9 10 4 11 12 10 3 13 14 3 6 15 4 16 17 7 7 18 4 7 19 4 1 2 3 4 20 7
8 3 9 10 4 11 12 10 3 13 14 3 6 15 4 16 17 7 7 18 4 7 19 4 1 2 3 4 20 7,3 9 10 4 11 12 10 3 13 14 3 6 15 4 16 17 7 7 18 4 7 19 4 1 2 3 4 20 7 21
3 9 10 4 11 12 10 3 13 14 3 6 15 4 16 17 7 7 18 4 7 19 4 1 2 3 4 20 7 21,9 10 4 11 12 10 3 13 14 3 6 15 4 16 17 7 7 18 4 7 19 4 1 2 3 4 20 7 21 22
9 10 4 11 12 10 3 13 14 3 6 15 4 16 17 7 7 18 4 7 19 4 1 2 3 4 20 7 21 22,10 4 11 12 10 3 13 14 3 6 15 4 16 17 7 7 18 4 7 19 4 1 2 3 4 20 7 21 22 23
10 4 11 12 10 3 13 14 3 6 15 4 16 17 7 7 18 4 7 19 4 1 2 3 4 20 7 21 22 23,4 11 12 10 3 13 14 3 6 15 4 16 17 7 7 18 4 7 19 4 1 2 3 4 20 7 21 22 23 3
4 11 12 10 3 13 14 3 6 15 4 16 17 7 7 18 4 7 19 4 1 2 3 4 20 7 21 22 23 3,11 12 10 3 13 14 3 6 15 4 16 17 7 7 18 4 7 19 4 1 2 3 4 20 7 21 22 23 3 10
11 12 10 3 13 14 3 6 15 4 16 17 7 7 18 4 7 19 4 1 2 3 4 20 7 21 22 23 3 10,12 10 3 13 14 3 6 15 4 16 17 7 7 18 4 7 19 4 1 2 3 4 20 7 21 22 23 3 10 3
12 10 3 13 14 3 6 15 4 16 17 7 7 18 4 7 19 4 1 2 3 4 20 7 21 22 23 3 10 3,10 3 13 14 3 6 15 4 16 17 7 7 18 4 7 19 4 1 2 3 4 20 7 21 22 23 3 10 3 4
10 3 13 14 3 6 15 4 16 17 7 7 18 4 7 19 4 1 2 3 4 20 7 21 22 23 3 10 3 4,3 13 14 3 6 15 4 16 17 7 7 18 4 7 19 4 1 2 3 4 20 7 21 22 23 3 10 3 4 24
3 13 14 3 6 15 4 16 17 7 7 18 4 7 19 4 1 2 3 4 20 7 21 22 23 3 10 3 4 24,13 14 3 6 15 4 16 17 7 7 18 4 7 19 4 1 2 3 4 20 7 21 22 23 3 10 3 4 24 7
13 14 3 6 15 4 16 17 7 7 18 4 7 19 4 1 2 3 4 20 7 21 22 23 3 10 3 4 24 7,14 3 6 15 4 16 17 7 7 18 4 7 19 4 1 2 3 4 20 7 21 22 23 3 10 3 4 24 7 6
14 3 6 15 4 16 17 7 7 18 4 7 19 4 1 2 3 4 20 7 21 22 23 3 10 3 4 24 7 6,3 6 15 4 16 17 7 7 18 4 7 19 4 1 2 3 4 20 7 21 22 23 3 10 3 4 24 7 6 18
3 6 15 4 16 17 7 7 18 4 7 19 4 1 2 3 4 20 7 21 22 23 3 10 3 4 24 7 6 18,6 15 4 16 17 7 7 18 4 7 19 4 1 2 3 4 20 7 21 22 23 3 10 3 4 24 7 6 18 25
